SOMOSAY13134386EF4,We Will Become Silhouettes,The Postal Service,0.071575,0.605031,300,0.551853,0.120225,-8.577,1,0.031662,154
SOIZUJG1313438B1BE,Clark Gable,The Postal Service,0.008901,0.585542,294,0.790765,0.068607,-6.052,0,0.027485,149
SOSCGDU147F6F3DCB4,Don't Tell 'Em,Jeremih,0.280593,0.841888,247,0.715791,0.127476,-5.523,0,0.186644,122
SODANJW13E908E1662,Counting Stars,OneRepublic,0.729129,0.504154,55,0.317777,0.161313,-23.167,1,0.673544,70
SOQBJMK13E908E1754,I Lived,OneRepublic,0.784953,0.495233,43,0.325459,0.708322,-23.083,1,0.564784,87
SOYJAKC1463BA8CDBE,Cannonball (Earthquake),Showtek,0.07351,0.565926,239,0.934486,0.569626,-5.05,0,0.098258,128
SOEJQKG149FFCB58A8,Illuminate,Afrojack,0.26407,0.618013,202,0.863367,0.108288,-4.61,0,0.064274,127
SORFRCR139E0A85A93,Bonfire,Knife Party,0.000119,0.533271,272,0.937763,0.346142,-3.033,1,0.088091,173
SODKRXW139E0A85B0D,Centipede,Knife Party,2.6e-05,0.432054,196,0.664985,0.395455,-15.346,0,0.061812,69
SOHLCNT13B0D89523C,Rage Valley,Knife Party,0.000288,0.434031,299,0.961255,0.105951,-2.9,0,0.128114,127
SOHFQCK14676E31ABD,Instant Crush,Daft Punk,0.033749,0.755519,252,0.565141,0.140912,-9.301,0,0.027282,109
SODKTTU1366CFA96C6,Harder Better Faster Stronger,Daft Punk,0.000917,0.525076,211,0.833618,0.950792,-10.388,0,0.094395,126
SOPSREH148D389645F,The Days,Avicii,0.06409,0.590041,225,0.675943,0.178102,-5.412,1,0.044881,127
SOKEOYC13F1B310304,Levels - Radio Edit,Avicii,0.083252,0.573776,195,0.897347,0.391957,-6.368,0,0.044768,135
SOEQKXY13E8FC6243F,Sweet Nothing,Calvin Harris,0.308565,0.54871,268,0.87048,0.074953,-6.346,1,0.183548,127
SOTGJUA146A23244CE,Under Control,Calvin Harris,0.184103,0.508358,172,0.88672,0.365141,-4.564,1,0.135826,128
SOKLVGF14667FEF030,Summer,Calvin Harris,0.011537,0.604117,246,0.481326,0.056165,-15.9,0,0.033542,127
